trial,diagnostic_steps,recovery_task,observation_noise,process_noise,slip_correlation,max_predicted_diagnostic_disturbance,damage,policy,estimate,param_error,posterior_entropy,posterior_confidence,action_energy,diagnostic_disturbance,max_diagnostic_disturbance,cumulative_diagnostic_disturbance,recovery_distance,nominal_recovery_distance,recovery_gain,seed
0,4,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,null_probe,g0.60_0.90_s0.10,0.2000,2.7911,0.1345,2.2600,0.0388,0.0761,0.1773,0.0757,0.0110,-0.0647,7001
0,4,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,unpaired_null,g0.60_1.00_s0.02,0.0200,2.8048,0.1135,2.1425,0.1841,0.1725,0.4512,0.0664,0.0357,-0.0307,7002
0,4,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,random_probe,g0.60_1.00_s0.02,0.0200,2.4212,0.2272,1.8218,0.1658,0.1613,0.4341,0.0124,0.0187,0.0062,7003
0,4,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,task_greedy,g0.60_1.00_s0.20,0.2000,2.5831,0.1418,2.0282,0.2260,0.2343,0.6085,0.0345,0.0495,0.0150,7004
0,4,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,fisher_grid,g0.60_0.90_s0.02,0.1200,2.5404,0.2366,3.2400,0.0203,0.1084,0.2956,0.0383,0.0114,-0.0268,7005
0,4,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,constrained_fisher,g0.60_1.00_s0.10,0.1000,1.5505,0.4130,3.2400,0.0434,0.0885,0.1803,0.0224,0.1830,0.1606,7006
0,4,straight_goal,0.01,0.003,0.0,0.12,right_gain_loss,null_probe,g1.00_0.60_s0.02,0.0200,2.2394,0.2620,2.2600,0.0266,0.0777,0.1596,0.0217,0.0293,0.0075,7007
0,4,straight_goal,0.01,0.003,0.0,0.12,right_gain_loss,unpaired_null,g1.00_0.60_s0.10,0.1000,2.6280,0.1519,2.1425,0.2823,0.2718,0.6781,0.1082,0.0843,-0.0239,7008
0,4,straight_goal,0.01,0.003,0.0,0.12,right_gain_loss,random_probe,g1.00_0.60_s0.10,0.1000,2.7180,0.1315,1.1264,0.1080,0.1009,0.2806,0.0288,0.0631,0.0343,7009
0,4,straight_goal,0.01,0.003,0.0,0.12,right_gain_loss,task_greedy,g1.00_0.75_s0.02,0.1300,2.7913,0.1097,2.0277,0.2350,0.2329,0.6162,0.0112,0.0063,-0.0049,7010
