trial,diagnostic_steps,recovery_task,observation_noise,process_noise,slip_correlation,max_predicted_diagnostic_disturbance,damage,policy,estimate,param_error,posterior_entropy,posterior_confidence,action_energy,diagnostic_disturbance,max_diagnostic_disturbance,cumulative_diagnostic_disturbance,recovery_distance,nominal_recovery_distance,recovery_gain,seed
0,8,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,null_probe,g0.60_1.00_s0.02,0.0200,1.9936,0.2945,4.2850,0.0536,0.0804,0.3575,0.0331,0.0264,-0.0067,29001
0,8,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,unpaired_null,g0.60_1.00_s0.02,0.0200,2.1208,0.2688,4.2850,0.0486,0.1831,0.8508,0.0211,0.0295,0.0084,29002
0,8,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,fisher_grid,g0.75_1.00_s0.02,0.1300,2.3306,0.1862,5.6700,0.1028,0.1122,0.6071,0.0718,0.0421,-0.0297,29003
0,8,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,constrained_fisher,g0.60_1.00_s0.10,0.1000,1.2360,0.6360,6.4800,0.0341,0.0965,0.4675,0.0774,0.1372,0.0599,29004
0,8,straight_goal,0.01,0.003,0.0,0.12,right_gain_loss,null_probe,g1.00_0.60_s0.02,0.0200,2.2612,0.1958,4.2850,0.0323,0.0838,0.3204,0.0119,0.0546,0.0427,29005
0,8,straight_goal,0.01,0.003,0.0,0.12,right_gain_loss,unpaired_null,g1.00_0.60_s0.10,0.1000,1.9461,0.2919,4.2850,0.0278,0.2752,1.1289,0.0160,0.0109,-0.0051,29006
0,8,straight_goal,0.01,0.003,0.0,0.12,right_gain_loss,fisher_grid,g1.00_0.60_s0.02,0.0200,2.0085,0.2874,5.6700,0.1019,0.1722,0.6122,0.0511,0.0358,-0.0153,29007
0,8,straight_goal,0.01,0.003,0.0,0.12,right_gain_loss,constrained_fisher,g1.00_0.60_s0.02,0.0200,1.1505,0.6135,6.1763,0.0574,0.0977,0.4903,0.0545,0.0375,-0.0170,29008
0,8,straight_goal,0.01,0.003,0.0,0.12,symmetric_low_power,null_probe,g0.75_0.75_s0.02,0.0600,2.5810,0.2498,4.2850,0.0271,0.0717,0.3081,0.0474,0.0790,0.0315,29009
0,8,straight_goal,0.01,0.003,0.0,0.12,symmetric_low_power,unpaired_null,g0.75_0.75_s0.02,0.0600,2.5069,0.2348,4.2850,0.0150,0.2154,0.8838,0.0280,0.0772,0.0492,29010
0,8,straight_goal,0.01,0.003,0.0,0.12,symmetric_low_power,fisher_grid,g0.75_0.75_s0.02,0.0600,1.9427,0.3579,5.6700,0.0680,0.1361,0.5130,0.0596,0.1204,0.0607,29011
0,8,straight_goal,0.01,0.003,0.0,0.12,symmetric_low_power,constrained_fisher,g0.75_0.75_s0.02,0.0600,1.9479,0.3295,6.4800,0.0259,0.0723,0.3077,0.0537,0.0505,-0.0032,29012
0,8,straight_goal,0.01,0.003,0.0,0.12,high_slip,null_probe,g1.00_0.90_s0.20,0.1000,1.5560,0.4441,4.2850,0.0557,0.1294,0.6657,0.0231,0.0670,0.0439,29013
0,8,straight_goal,0.01,0.003,0.0,0.12,high_slip,unpaired_null,g1.00_1.00_s0.10,0.1000,2.1775,0.2737,4.2850,0.0381,0.2832,1.2020,0.2427,0.2427,0.0000,29014
0,8,straight_goal,0.01,0.003,0.0,0.12,high_slip,fisher_grid,g1.00_1.00_s0.20,0.0000,1.0884,0.5025,5.6700,0.2029,0.2070,0.8995,0.2590,0.2590,0.0000,29015
0,8,straight_goal,0.01,0.003,0.0,0.12,high_slip,constrained_fisher,g1.00_1.00_s0.20,0.0000,1.4467,0.4220,6.1763,0.0869,0.1416,0.6700,0.2007,0.2007,0.0000,29016
1,8,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,null_probe,g0.60_1.00_s0.02,0.0200,1.8265,0.3744,4.2850,0.0052,0.0920,0.3337,0.0081,0.1354,0.1273,30017
1,8,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,unpaired_null,g0.60_0.90_s0.20,0.3000,2.5326,0.1883,4.2850,0.0121,0.1798,0.8072,0.0747,0.1688,0.0941,30018
1,8,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,fisher_grid,g0.75_1.00_s0.02,0.1300,2.2612,0.1867,5.6700,0.0892,0.1072,0.5641,0.0474,0.0312,-0.0161,30019
1,8,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,constrained_fisher,g0.60_1.00_s0.02,0.0200,1.8810,0.3711,6.4800,0.0274,0.0919,0.4236,0.0306,0.0446,0.0140,30020
1,8,straight_goal,0.01,0.003,0.0,0.12,right_gain_loss,null_probe,g1.00_0.60_s0.02,0.0200,2.1454,0.2632,4.2850,0.0313,0.0932,0.3905,0.0995,0.1564,0.0568,30021
1,8,straight_goal,0.01,0.003,0.0,0.12,right_gain_loss,unpaired_null,g1.00_0.60_s0.10,0.1000,2.0477,0.2523,4.2850,0.0271,0.2760,1.1568,0.0242,0.0189,-0.0053,30022
1,8,straight_goal,0.01,0.003,0.0,0.12,right_gain_loss,fisher_grid,g0.90_0.60_s0.02,0.1200,1.7299,0.3760,5.6700,0.0949,0.1702,0.5800,0.0114,0.0163,0.0049,30023
1,8,straight_goal,0.01,0.003,0.0,0.12,right_gain_loss,constrained_fisher,g1.00_0.60_s0.02,0.0200,1.7599,0.4081,6.4800,0.0597,0.1042,0.4936,0.0305,0.0892,0.0587,30024
1,8,straight_goal,0.01,0.003,0.0,0.12,symmetric_low_power,null_probe,g0.75_0.60_s0.02,0.1500,2.1336,0.2379,4.2850,0.0130,0.0735,0.2874,0.0352,0.0869,0.0517,30025
1,8,straight_goal,0.01,0.003,0.0,0.12,symmetric_low_power,unpaired_null,g0.60_0.75_s0.02,0.1500,2.5349,0.1314,4.2850,0.0419,0.2016,0.8648,0.0200,0.0610,0.0409,30026
1,8,straight_goal,0.01,0.003,0.0,0.12,symmetric_low_power,fisher_grid,g0.75_0.75_s0.02,0.0600,1.8331,0.4820,5.6700,0.0904,0.1231,0.4947,0.0414,0.1163,0.0749,30027
1,8,straight_goal,0.01,0.003,0.0,0.12,symmetric_low_power,constrained_fisher,g0.75_0.75_s0.02,0.0600,1.8732,0.3036,6.4800,0.0175,0.0716,0.3127,0.0314,0.1069,0.0755,30028
1,8,straight_goal,0.01,0.003,0.0,0.12,high_slip,null_probe,g1.00_1.00_s0.10,0.1000,2.0966,0.2839,4.2850,0.0321,0.0968,0.4756,0.0391,0.0391,0.0000,30029
1,8,straight_goal,0.01,0.003,0.0,0.12,high_slip,unpaired_null,g1.00_1.00_s0.20,0.0000,1.7478,0.3157,4.2850,0.1334,0.2827,1.4069,0.1190,0.1190,0.0000,30030
1,8,straight_goal,0.01,0.003,0.0,0.12,high_slip,fisher_grid,g1.00_1.00_s0.10,0.1000,2.2470,0.2391,5.6700,0.1248,0.1916,0.8675,0.0735,0.0735,0.0000,30031
1,8,straight_goal,0.01,0.003,0.0,0.12,high_slip,constrained_fisher,g0.90_1.00_s0.20,0.1000,1.7172,0.2994,5.4675,0.1495,0.1723,0.8486,0.0678,0.0722,0.0045,30032
2,8,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,null_probe,g0.60_0.90_s0.02,0.1200,1.9845,0.2605,4.2850,0.0349,0.0927,0.3646,0.0505,0.0492,-0.0012,31033
2,8,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,unpaired_null,g0.60_1.00_s0.10,0.1000,2.2401,0.2092,4.2850,0.0300,0.1816,0.8341,0.0212,0.0491,0.0279,31034
2,8,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,fisher_grid,g0.60_1.00_s0.02,0.0200,1.8413,0.2357,5.6700,0.0894,0.1078,0.5574,0.1135,0.0315,-0.0820,31035
2,8,straight_goal,0.01,0.003,0.0,0.12,left_gain_loss,constrained_fisher,g0.60_1.00_s0.02,0.0200,1.1093,0.6745,6.4800,0.0576,0.1021,0.4366,0.0508,0.0243,-0.0265,31036
2,8,straight_goal,0.01,0.003,0.0,0.12,right_gain_loss,null_probe,g1.00_0.60_s0.02,0.0200,1.8831,0.3756,4.2850,0.0331,0.0922,0.3675,0.0345,0.0277,-0.0068,31037
2,8,straight_goal,0.01,0.003,0.0,0.12,right_gain_loss,unpaired_null,g1.00_0.60_s0.02,0.0200,1.8204,0.2845,4.2850,0.0110,0.2842,1.1375,0.0836,0.0223,-0.0612,31038
2,8,straight_goal,0.01,0.003,0.0,0.12,right_gain_loss,fisher_grid,g1.00_0.60_s0.02,0.0200,2.0582,0.2151,5.6700,0.1111,0.1818,0.6403,0.0177,0.0238,0.0061,31039
2,8,straight_goal,0.01,0.003,0.0,0.12,right_gain_loss,constrained_fisher,g0.90_0.75_s0.02,0.2300,1.8726,0.2798,6.4800,0.0123,0.0859,0.3568,0.0495,0.0113,-0.0382,31040
2,8,straight_goal,0.01,0.003,0.0,0.12,symmetric_low_power,null_probe,g0.75_0.75_s0.02,0.0600,2.4906,0.1573,4.2850,0.0099,0.0623,0.2797,0.0426,0.0780,0.0354,31041
