trial,diagnostic_steps,recovery_task,observation_noise,process_noise,slip_correlation,max_predicted_diagnostic_disturbance,damage,policy,estimate,param_error,posterior_entropy,posterior_confidence,action_energy,diagnostic_disturbance,max_diagnostic_disturbance,cumulative_diagnostic_disturbance,recovery_distance,nominal_recovery_distance,recovery_gain,seed
0,8,square_waypoints,0.01,0.003,0.0,0.12,left_gain_loss,null_probe,g0.60_1.00_s0.10,0.1000,2.2488,0.2077,4.2850,0.0408,0.0970,0.3435,0.0940,0.0199,-0.0741,11003
0,8,square_waypoints,0.01,0.003,0.0,0.12,left_gain_loss,unpaired_null,g0.60_1.00_s0.10,0.1000,1.8115,0.3244,4.2850,0.0324,0.1718,0.7917,0.0546,0.0768,0.0222,11004
0,8,square_waypoints,0.01,0.003,0.0,0.12,left_gain_loss,random_probe,g0.60_0.90_s0.02,0.1200,3.1001,0.1051,1.6327,0.0900,0.1118,0.4816,0.0864,0.0263,-0.0601,11005
0,8,square_waypoints,0.01,0.003,0.0,0.12,left_gain_loss,task_greedy,g0.60_0.90_s0.20,0.3000,2.1620,0.1745,4.0958,0.4430,0.4468,2.0824,0.0417,0.1242,0.0826,11006
0,8,square_waypoints,0.01,0.003,0.0,0.12,left_gain_loss,fisher_grid,g0.60_1.00_s0.10,0.1000,1.8741,0.3054,5.6700,0.1075,0.1057,0.6291,0.1182,0.1500,0.0318,11007
0,8,square_waypoints,0.01,0.003,0.0,0.12,left_gain_loss,constrained_fisher,g0.75_0.90_s0.10,0.3100,2.2071,0.2835,6.4800,0.0522,0.1123,0.5192,0.0743,0.0657,-0.0086,11008
0,8,square_waypoints,0.01,0.003,0.0,0.12,right_gain_loss,null_probe,g1.00_0.75_s0.10,0.2100,2.4801,0.1868,4.2850,0.0100,0.0904,0.3601,0.0157,0.0220,0.0063,11009
0,8,square_waypoints,0.01,0.003,0.0,0.12,right_gain_loss,unpaired_null,g1.00_0.60_s0.02,0.0200,2.2419,0.2079,4.2850,0.0291,0.2786,1.1387,0.0770,0.0610,-0.0160,11010
0,8,square_waypoints,0.01,0.003,0.0,0.12,right_gain_loss,random_probe,g1.00_0.60_s0.02,0.0200,2.5723,0.1596,2.1586,0.1840,0.1927,0.9300,0.0593,0.0182,-0.0411,11011
0,8,square_waypoints,0.01,0.003,0.0,0.12,right_gain_loss,task_greedy,g1.00_0.60_s0.20,0.2000,2.1674,0.1582,4.0937,0.4274,0.4362,2.0192,0.0161,0.0217,0.0056,11012
0,8,square_waypoints,0.01,0.003,0.0,0.12,right_gain_loss,fisher_grid,g1.00_0.60_s0.02,0.0200,1.8810,0.3091,5.6700,0.1075,0.1808,0.6748,0.0537,0.0287,-0.0250,11013
0,8,square_waypoints,0.01,0.003,0.0,0.12,right_gain_loss,constrained_fisher,g1.00_0.60_s0.02,0.0200,1.4407,0.4693,6.1763,0.0410,0.1108,0.5352,0.0291,0.0980,0.0690,11014
0,8,square_waypoints,0.01,0.003,0.0,0.12,symmetric_low_power,null_probe,g0.75_0.75_s0.10,0.1400,2.5673,0.2131,4.2850,0.0252,0.0740,0.2762,0.0520,0.0259,-0.0261,11015
0,8,square_waypoints,0.01,0.003,0.0,0.12,symmetric_low_power,unpaired_null,g0.75_0.75_s0.02,0.0600,2.5032,0.2014,4.2850,0.0164,0.2024,0.8196,0.0278,0.0936,0.0658,11016
0,8,square_waypoints,0.01,0.003,0.0,0.12,symmetric_low_power,random_probe,g0.75_0.75_s0.02,0.0600,2.9514,0.1654,2.2320,0.0825,0.1104,0.5131,0.0272,0.0629,0.0357,11017
0,8,square_waypoints,0.01,0.003,0.0,0.12,symmetric_low_power,task_greedy,g0.75_0.75_s0.20,0.2400,2.9204,0.1505,3.9203,0.3641,0.3905,1.7340,0.0153,0.1004,0.0851,11018
0,8,square_waypoints,0.01,0.003,0.0,0.12,symmetric_low_power,fisher_grid,g0.75_0.75_s0.02,0.0600,2.1367,0.3019,5.6700,0.0730,0.1334,0.4939,0.0476,0.0611,0.0135,11019
0,8,square_waypoints,0.01,0.003,0.0,0.12,symmetric_low_power,constrained_fisher,g0.75_0.75_s0.02,0.0600,1.3250,0.6455,6.4800,0.0336,0.0822,0.3595,0.0375,0.0876,0.0501,11020
0,8,square_waypoints,0.01,0.003,0.0,0.12,high_slip,null_probe,g0.90_0.90_s0.02,0.3800,2.6731,0.1850,4.2850,0.0508,0.0904,0.3867,0.0601,0.1320,0.0719,11021
0,8,square_waypoints,0.01,0.003,0.0,0.12,high_slip,unpaired_null,g0.90_1.00_s0.20,0.1000,2.0199,0.2701,4.2850,0.1140,0.2802,1.2908,0.0579,0.0767,0.0188,11022
0,8,square_waypoints,0.01,0.003,0.0,0.12,high_slip,random_probe,g1.00_1.00_s0.20,0.0000,2.0160,0.3231,2.0793,0.2735,0.2589,1.1058,0.1248,0.1248,0.0000,11023
